incident_summary,total_fatalities,first_action,incident_number,count_bin
"Around 25 CPI-Maoist cadres under Mithileshji's dalam allegedly blew up the bridge over Konar river in Churchu block, 50 kilometres from District headquarters of Hazaribagh District, ahead of their bandh call on June 23. The Maoists issued a bandh diktat for Jharkhand, Bihar and Chhattisgarh to protest against the recent Palamau encounter.",0,Bombing,806221501.0,0
"Around 10 to 15 cadres of the CPI-Maoist blew up a panchayat (village level self-Government institution) building in the Chahapur village of Palamau District. However, no casualty was reported as the building was empty at the time. After blowing up the building, Maoist shouted slogans against the Security Forces'' operation in the Lalgarh area of West Bengal.",0,Bombing,806230901.0,0
"Suspected cadres of the CPI-Maoist shot at Binod Singh, the employee of a contractor engaged in road construction and critically wounded him at Itkhori in Chatra District.",1,Armed Assault,806231001.0,1
The CPI-Maoist cadres blew up a stretch of the railway track between Chhipadohar and Barwadih stations derailing three bogies and the engine of Palamu Express in Latehar District.,0,Bombing,806231501.0,0
"The CPI-Maoist exchanged heavy fire with SFs at Jharha forest area under Pirtand Police Station in Giridih District. SP Giridih, Akhlesh V Verier said the incident occurred at Jharha forest area. on when the Jharkhand Police (Pirtand, Dumari and Muffasil) along with CRPF 154 battalion and Maoist came face to face during a routine combing operation. During the operation, a section of SFs led by Giridih SP Akhlesh V Verier came across Maoists training camp at Jharha forest area and on seeing the SF personnel, the Maoist squad guarding the camp opened fire. The gunshot that lasted for one hour has reportedly left some Maoists cadres dead, Police sources said.",0,Armed Assault,806241602.0,0
"CPI-Maoist cadres abducted the driver and guard of a goods train after blowing up railway tracks and subsequently damaging the train at Latehar. However, no casualties were reported. Another length of the track was blasted between Mangra and Barwadih near Latehar.",0,Bombing,806250701.0,0
"SF personnel detected and defused four landmines suspected to be planted by CPI-Maoist cadres at Hatnaburu in West Singhbhum District. The landmines, weighing an average 15 kilograms each, were planted in four different places under a kutcha road deep inside Saranda forest targeting the SF, SP A. K. Singh said.",0,Bombing,806251101.0,0
CPI-Maoist cadres have fired upon CAPFs engaged in anti-naxal operations near Kumandih village of Latehar District.,0,Armed Assault,806251301.0,0
Cadres of the CPI-Maoist blew up railway tracks between Gomia and Dania in the Bokaro District.,0,Bombing,806260701.0,0
"Naxalites (Left-wing extremists) killed a villager at Parasi village under Tamar Police Station area in Ranchi District and left behind posters, which hinted that the victim had to pay the price with his life for allegedly committing rape and murder.",1,Armed Assault,806260901.0,1
One policeman was killed and 12 other were injured when CPI-Maoist cadres ambushed their mini-bus near Topchachi Police Station in Dhanbad District. Two of the injured are said to be in critical condition.,1,Armed Assault,806261201.0,1
Police recovered three landmines in Chatra District. Police said they recovered a landmine weighing 40 kilograms and two more each weighing five kilograms at Jamua village of Chatra District.,0,Bombing,806261301.0,0
"District Police and CRPF, recovered a powerful landmine, weighing 45 kilogram, planted under a culvert in Bitkilsoya village under Jaraikela Police Station limits of Saranda forest area in West Singhbhum District of Jharkhand during an anti-Naxal operation.",0,Bombing,806261401.0,0
Three civilians were injured as cadres of the Communist Party of India-Maoist (CPI-Maoist) fired on passengers of an auto-rickshaw that was passing through Nathbalwa village in Manika area of Latehar District in the night.,0,Armed Assault,806271203.0,0
A truck driver was killed and two others sustained injuries when cadres of the CPI-Maoist opened fire towards three trucks on the Ranchi-Jamshedpur highway under Tamar Police Station area in the Ranchi District.,1,Armed Assault,806280701.0,1
Two alleged supporters of CPI-Maoist were killed when PLFI opened indiscriminate firing at a weekly market in Birbanki under Arki Police Station in Khunti District of Jharkhand.,2,Armed Assault,806281401.0,2
"A Jharkhand Janmukti Morcha Parishad cadre, identified as Aman, was killed in an exchange of fire with TPC, a splinter group of CPI-Maoist, cadres at Heranj area of Latehar District.",1,Armed Assault,806281402.0,1
"Suspected CPI-Maoist cadres killed an 'area commander' of the PLFI, a breakaway faction of the CPI-Maoist, at Kolambi-Dipatoli village in Gumla District. The slain 'area commander' was identified as Chhotka Gop.",1,Armed Assault,806291101.0,1
"A Deputy Superintendent of Police (DSP) and four constables were killed in a landmine blast triggered by suspected CPI-Maoist cadres at Pundigiri village in the Bundu area, 50-kilometres from State capital Ranchi. While the DSP and two constables were killed on the spot, two others succumbed to injuries when they were being shifted to the hospital. Another critically injured Police personnel was admitted to the hospital. The Police personnel were returning to the headquarters after conducting raids in the Bundu area. Jharkhand Police Deputy Inspector General (DIG) RK Mallik said, ""The Maoists had planted a landmine on the return route of the Police party and set it off when the vehicle passed through that point.""",5,Bombing,806300801.0,6-10
"Suspected CPI-Maoist cadres killed three civilians, including an elderly woman, and injured another woman over a land dispute between two families in Sehal-Tetartoli village under the Ghaghra Police Station in Gumla District. The victims have been identified as Jaipal Yadav (50), his brother and retired army man Jagdish Yadav (48) and his mother-in-law Batti Devi while, the injured woman has been identified as Jaipal's wife Sumitra Devi.",3,Armed Assault,806301201.0,3-5
"Cadres of the CPI-Maoist damaged the middle school Charai village in Palamu District. The Maoists hurled two bombs at the school. While one bomb flattened a room of the school, another did not explode.",0,Bombing,807011001.0,0
"At least three CPI-Maoist cadres were killed when SFs, including CoBRA personnel, attacked Maoist 'zonal commander' Ajay Mahto's 35 cadre-strong squad at a place between rugged hills and dense forests near Telaiya village in Hazaribagh District. After the Maoists fled, a combing operation in the area yielded INR 6.90 lakh in cash, a large numbers of uniforms, utensils, food grain, medicines, a 9-mm pistol, four live cartridges and 14 empty cartridges of AK-47.",3,Armed Assault,807011101.0,3-5
Polling in Maheshpur in Ghatsila sub-divison was disrupted for a while after CPI-Maoist cadres fired in the air to scare away voters during the Jamshedpur Parliamentary by-polls.,0,Armed Assault,807011102.0,0
SFs and CPI-Maoist cadres exchanged fire at Badkitand forests in Giridih District.,0,Armed Assault,807011401.0,0
Pakur District SP Amarjit Balihar (45) and four other Policemen were killed in an ambush by CPI-Maoist cadres in Kathikund forest area of Dumka District of Jharkhand. Balihar was returning from a meeting with DIG Priya Dubey in Dumka when his vehicle was attacked by Maoists between 2.30 and 3pm.,6,Armed Assault,807021301.0,6-10
"A CPI-Maoist cadre was killed during an encounter with the Police in Simdega District. SP Rajiv Ranjan said following a tip off, a search operation was launched during which three motorcycle-borne men fired on the Policemen near Mudia jungle under Sadar Police Station. In the retaliatory action, one of them, Turia Oraon, was killed on the spot, the SP said, adding the two others managed to flee into the deep jungle. Oraon, who was a former 'area commander' of the CPI-Maoist, faced four cases in the District.",1,Armed Assault,807021601.0,1
"An encounter took place between the security personnel and the Maoists inside a forest at Gorabandha in Ghatsila Sub-Division of East Singhbhum District. East Singhbhum SP, (Rural), Md Arshi said the encounter took place when security personnel from CRPF and District Armed Police were on an anti-Maoist operation in the area. They had launched a search operation at Dangra Pahar on being informed about a Maoist camp there. The encounter lasted for an hour. Later, the security personnel demolished the Maoist camp and recovered two can bombs and 15 detonators. A binocular, a walkie-talkie charger, a flash gun, two radios, nine plastic tents, five Maoist uniforms, 15 empty cartridges, a printer cartridge, utensils and other items of daily use were also found.",0,Armed Assault,807021602.0,0
"A hardcore cadre of the CPI-Maoist, identified as Somnath, was killed in an encounter with the Police at Koramba forest in the Ramgarh block of Dumka District. Acting on a tip-off, a Police team reached Koramba to flush out the Maoists but the Maoists started firing at the Police party, Superintendent of Police Arun Kumar Singh said. Somnath was killed in retaliatory action. An SLR rifle was found from the incident site.",1,Armed Assault,807040901.0,1
"CPI-Maoist cadres kill a civilian, Babloo Gupta, at Tarvadih village in the Palamu District after branding him as a Police informer.",1,Armed Assault,807060501.0,1
"CPI-Maoist cadres attacked the Railway Protection Force barrack at Manoharpur railway station in the West Singhbuhm District. However, no causalities were reported.",0,Armed Assault,807060701.0,0
Suspected CPI-Maoist cadres killed a person on the suspicion of being a JJMP supporter in Reheldag village under Bishunpur Police Station limits in Gumla District.,1,Armed Assault,807061601.0,1
"Cadres of the CPI-Maoist shot dead one CRPF trooper, Pitambar Kumar Singh, in his house at Ninder the Latehar District. Singh, who was posted at the Ghatsila sub-division in East Singhbhum District, was reportedly on leave.",1,Armed Assault,807070901.0,1
"Four Left Wing Extremists (LWEs) were killed in a gun battle between cadres of the TPC and a newly formed extremist group headed by one Pramod Yadav in the vicinity of a forest in Rabda in the Palamu District. It was also mentioned that Pramod Yadav was a former associate of TPC before setting up his own faction. ""Yesterday night a gun battle took place between two rebel groups in the jungles near Rabda. Four rebels including Pramod Yadav died in the shoot out,"" said T Mathews, Superintendent of Police of Palamu.",4,Armed Assault,807071001.0,3-5
Police engaged the Maoists in a gunbattle in Hehegarha. At least one Policeman was killed in the crossfire.,1,Armed Assault,807071003.0,1
"CPI-Maoist cadres shot dead a MLA belonging to the Janata Dal-United, Ramesh Singh Munda, along with his two bodyguards and a teenaged boy at the sub-divisional town of Bundu in the Ranchi District. The MLA was distributing prizes to students at the S. S. College when the incident occurred. Maoists, numbering around 12, first killed one of the three security guards, Shiv Nath Minj, outside the hall where the ceremony was under way. They then barged in and fired bullets killing Munda and his other bodyguard Khurshid Alam. A student was caught in the firing and died after being hit by a bullet. Munda's third bodyguard, Shesh Nath Singh, who survived, said that the entire attack was over within 10 minutes.",4,Armed Assault,807080801.0,3-5
CPI-Maoist cadres killed a villager identified as Khannan Ansari alias Kutla Ansari of Sidpahari village under Masaliya Police Station at the Makrampur haat (weekly market) in Dumka District.,1,Armed Assault,807091403.0,1
"Suspected CPI-Maoist cadres, armed with modern firearms and hand grenades, attacked the Goelkera Police station in the West Singhbhum District. The Deputy Inspector General of Police (Singhbhum-Kolhan region), Ram Lakhan Prasad, while confirming the attack said, ""About 20 armed rebels attacked the Police station last night but the timely assistance of the special task force forced them to retreat. The Maoists were not able to reach even close to the Police station’s boundary.""",0,Armed Assault,807100701.0,0
"A local contractor-cum-trader was killed by cadres of the PLFI, a break away faction of the CPI-Maoist, at his shop in Patratoli village of Raidih Police Station in Gumla District.",1,Armed Assault,807101103.0,1
"A three-hour gun battle took place between two LWE groups - TPC and JJMP, at Manchi village in Lohardaga District, where the groups are engaged in an ongoing struggle for supremacy.",0,Armed Assault,807101601.0,0
"Suspected cadres of PLFI, a breakaway faction of CPI-Maoist, shot dead a BJP leader, identified as Dil Bandhu Das, at Bhandartoli in Simdega District when he refused to pay levy to them.",1,Armed Assault,807111303.0,1
A CoBRA trooper - Ajai Kumar - died after being injured in a fierce encounter between SFs and the CPI-Maoist cadres under Baresan Police Station area of Latehar District.,1,Armed Assault,807111601.0,1
"Over 40 Maoists attacked Jogibigha village under Pratappur Police Station area in Chatra District on the Jharkhand-Bihar border and seriously injured one Moinuddin Khan. Chatra Superintendent of Police (SP) Narendar Kumar Singh said the Maoists surrounded the village and pulled out Khan from his house and shot him in the leg. According to sources, the Maoists attacked the village and shot at Khan who was luckily saved after the villagers retaliated with traditional weapons. No one else was injured as the Maoists retreated after the villagers retaliated, the sources said.",0,Armed Assault,807120901.0,0
"CPI-Maoist cadres carried out a blast at the house of one of the dissenters, their 'commander', Upendra Rai, in Pilpra village in Palamu District, in order to keep away several Maoists who had decided to move out and start their own outfits or join another group.",0,Bombing,807121101.0,0
"SFs recovered a seven kilogram pipe bomb planted under the Ghori Ghat Main road in Chatra District. On a tip off, CRPF and the District Police personnel launched a search and recovered the explosive. It was apparently planted by CPI-Maoist to target security forces, from the arterial road passing through Jolhatetaria village, SP Surendra Kumar Jha said.",0,Bombing,807121501.0,0
"The driver of a construction company, identified as Md Ismail Ansari (34), was shot dead by the PLFI cadres in Bandgaon Police Station area in West Singhbhum District. Ansari was engaged in the construction of a road between Bandgaon and Lyangi village under PMGSY. The extremists shot Ansari only because the company did not intimate the outfit about the road construction to it, Police said referring leaflets recovered from the spot. The leaflets were issued by Munna ji, the 'area commander' of PLFI Chotanagpur Region Committee.",1,Armed Assault,807131201.0,1
A 50-year-old woman was injured when an IED planted by CPI-Maoist to target the Police exploded at a hill-top in Latehar District. The incident occurred when the woman went atop the hill at Kumandih to collect minor forest produce injuring her right leg.,0,Bombing,807141301.0,0
"Two sympathisers of the extremist group, Revolutionary Communist Centre (RCC) were killed by cadres of the rival CPI -Maoist in Gogo village of Palamu District.",2,Armed Assault,807150601.0,2
At least 20 villagers were beaten up by TPC cadres in Bendi village of Koderma District for refusing to serve foodChn.,0,Armed Assault,807151501.0,0
Five Police personnel were killed and five others injured when cadres of the CPI-Maoist triggered a landmine blast blowing up a patrol van carrying Jharkhand Jaguar Force personnel at Kutmu More in Latehar District.,5,Bombing,807161001.0,6-10
"A powerful bomb, planted by Maoists under a road, was recovered just one kilometer away from a CRPF camp at Bhawnradih, at Ghatsila in East Singhbhum District. The explosive was defused.",0,Bombing,807161002.0,0
CPI-Maoist cadres blew up the office of the Block Development Officer in Gomia block of Bokaro District,0,Bombing,807170701.0,0
"According to Police, the CPI-Maoist cadres killed Manoj Sao by slitting his throat. Manoj reportedly ran a shop and hotel at Pirtand block of Giridih District. A pamphlet branding Manoj as Police informer and a rapist was left near his body found in the morning of July 18 near Chachondo village of Giridih District, around 190 kilometers from capital Ranchi.",1,Armed Assault,807170902.0,1
A PLFI cadre identified as Baignath Singh sustained injuries in an encounter with the Police at Kasmar village under Panki Police Station area of Palamu District.,0,Armed Assault,807171301.0,0
"A person, identified as Karma Sahu, was killed by suspected cadres of the CPI-Maoist in Simdega District. The dead body of Sahu was recovered in Genmer-Chandsai village in the morning, the SP Anup Birthare said.",1,Armed Assault,807181101.0,1
"Suspected cadres beheaded a man and took away his head leaving the body near Koleng Nawadih village of Gumla District, Police said. The body was later found by the villagers.",1,Armed Assault,807190901.0,1
"Two cadres of the PLFI, a breakaway faction of the CPI-Maoist, were lynched by residents of Siyang village under Sisai Police Station in Gumla District of Jharkhand. The slain cadres have been identified as Indrajeet Oraon of Dahutoli and Rama Oraon from Shivnathpur village.",2,Armed Assault,807191201.0,2
"Ajay Ganjhu alias Parasji (45), a top CPI-Maoist leader, was killed in a joint operation by the Jharkhand Police and the CRPF in Kunda forest in Chatra District of Jharkhand. Ganjhu, who had been heading the Bihar-Jharkhand regional committee of the CPI-Maoist, carried INR 1.7 million on his head.",1,Armed Assault,807191202.0,1
"A gun-battle was reported between Police and cadres of JPC, a breakaway faction of the CPI-Maoist, in the forests near Chirudih village of Barkagaon, some 47 kilometers from the Hazaribagh District headquarters. Though no casualty was reported the Police recovered a wireless set, five mobile phones, 143 cartridges and files containing names of persons who had paid 'levy' to the JPC. The extremists, however, reportedly managed to escape. According to sources, the Barkagaon Police had received a tip-off regarding JPC members holding a meeting inside the Chirudih forests after dark. Accordingly, a team led by officer in charge of the Barkagaon Police Station, Gopal Krishna, and assistant sub-inspectors K.K. Pathak and J.P. Marandi, reached the spot around 12.30 am. Sources said the extremists became aware of the Police presence and began to fire indiscriminately. Hazaribagh Superintendent of Police Pankaj Kamboj said the Police fired 10 rounds and the insurgents 15 rounds before the encounter ended. ""There were about 10 to 15 rebels at the spot. They managed to escape under the cover of darkness. Otherwise, we would have surely managed to kill or arrest them,"" Kamboj added.",0,Armed Assault,807200901.0,0
"Suspected cadres of PLFI killed, Laxman Pahan alias Laxman Munda, Sarpanch of Karkatta village in Tupudana area in Ranchi District of Jharkhand.",1,Armed Assault,807201401.0,1
"The CPI-Maoist cadres killed Anil Oraon (24), a resident of Lai village in Garu, and Arun Yadav (35) of Kone village under Sadar Police Station, branding them as Police informers in a kangaroo court held at Sarju forests in Latehar District.",2,Armed Assault,807211101.0,2
"SFs and Maoists were involved in an encounter in a forest in Chowka, in Seraikela-Kharsawan District. ""No casualty was reported in the operation but we have collected empty cartridges that were fired by the rebels,"" said ASP, operation, Deepak Kumar Sinha.",0,Armed Assault,807231204.0,0
"Six cadres of PLFI were killed in a factional clash with the CPI-Maoist cadres near Namsilli village of Khunti District. Around 30 to 40 CPI-Maoist cadres surrounded the PLFI cadres and opened fired indiscriminately, killing six of them.",6,Armed Assault,807231302.0,6-10
"SFs killed a Maoist 'commander', identified as Vishal alias Tulsi alias Tadit, also the 'special committee member' of the CPI-Maoist, in an operation near Limba-Sosokutti village in Khunti District of Jharkhand.",1,Armed Assault,807231401.0,1
"Cadres of JPC killed a former member of JPC, identified as Ishwari Oraon, and his body was found in Daldaliya canal in Puroshottampur village under Panki Police Station in Daltonganj District of Jharkhand.",1,Armed Assault,807231403.0,1
"SFs unearthed 25 IEDs each weighing 1.5 kg during a routine search operation in Herhunj area in Latehar District. These IEDs were laid in small tiffin boxes recently and have been defused by the bomb disposal squad, SP Latehar Anoop Birtharey said",0,Bombing,807231602.0,0
Two CPI-Maoist cadres were reportedly killed by the cadres of PLFI in Khunti District. Around 20 armed PLFI cadres dragged the duo from Ramandag village into the forests at around 10 pm and shot them dead.,2,Armed Assault,807241301.0,2
"A defunct arms and explosive manufacturing unit belonging to the CPI-Maoist was neutralised, in a joint exercise of Jareikela Police and CRPF personnel, in Saranda forest near Cheraradera village of West Singhbhum District of Jharkhand",0,Armed Assault,807241401.0,0
"CPI-Maoist cadres have killed three civilians including two sons of a surrendered Maoist cadre in Barkol forest range of Latehar District. A pamphlet found from the spot alleged that the victims were 'Police informers'. According to information after Rampreet Yadav's surrender, the Maoists had been suspecting his two sons Shravan Yadav (32) and Hiralal Yadav (20) along with Shivlal Yadav (22) to be working as 'Police informers'. On July 24, Maoists came to know about Shravan and Hiralal's presence in Barkol area. A team of Maoists went to their houses and took them away to Barkol forest area and gunned them down. The Maoists also went to Shivlal Yadav's house and strangulated him to death by a rope.",3,Armed Assault,807241601.0,3-5
"An encounter took place between the forces from the State Police, CRPF and the anti-Naxal Jaguar Force against and cadres of the CPI-Maoist in forests near Bundu, about 40 kilometres from Ranchi in Khunti District.",0,Armed Assault,807251001.0,0
"A CPI-Maoist leader, identified as Sylvester Minz, a Zonal/Area Committee member, who was carrying a reward of INR 1.5 million on his head, was killed in an encounter with Police in Gumla District, while another was arrested in the District. Minz was shot dead in the encounter at a place under Chenpur Police Station, SP Bhimsen Tuti said. Acting on a tip-off that a group of Maoists have gathered at a village, Police surrounded the area between 5 AM and 6 AM. Witnessing the approaching force, the rebels fired upon the Police personnel triggering the gun battle, he said. A 'Sub-zonal Commander' Dilbar, carrying INR 500,000 on his head, was arrested after the encounter, the SP said.",1,Armed Assault,807251501.0,1
"Two cadres of the CPI-Maoist, including a woman, were shot dead by Security Forces (SFs) in a 20-hour-long encounter near Korba and Rabo villages in Khunti District. The slain Maoists were identified as Mashi Munda and Chotki Munda. According to Police, Chotki is a relative of Kundan Pahan, South Chhotanagpur zonal committee commander of the CPI-Maoist. Two suspected women cadres were also arrested from the encounter site. ""We suspect both of them are female cadres of the outlawed outfit,'' Khunti Superintendent of Police Manoj Kaushik said. The SFs also recovered 40 detonators, electrical wires, medicines and bags from the encounter site.",2,Armed Assault,807261001.0,2
"An encounter between SFs and CPI-Maoist cadres took place at Bandu forest in West Singhbhum District of Jharkhand. According to Police, the Maoists may have suffered injuries in the encounter as bloodstains were found on the side from where they were firing. No casualty was reported from the Paramilitary Forces.",0,Armed Assault,807261201.0,0
"Three hardcore Maoists, including two women cadres, were killed in an encounter that ensued after security force personnel raided the Tilaya forest area under Vishnugarh Police station in the Hazaribagh District. The slain insurgents were identified as a 'zonal commander' Niranjan Da alias Chandru Manjhi and two women cadres Anita alias Vinita and Mamta. Hazaribagh District Superintendent of Police Praveen Kumar Singh said that some injured extremists managed to escape from the incident site. The SFs also recovered one self-loading rifle, two regular rifles (303) both looted from Police, 150 rounds of ammunition which included live cartridges for 303 rifles, a large quantity of Maoist literatures, diaries containing the names and amount of levies realised, names of newly recruited members along with receipt books and one Motorola brand walkie-talkie and other materials from the spot. Approximately 100 Maoists had reportedly assembled at Tilaya forest area near Narki village to celebrate their 'martyr week' along with Niranjan Da and dozens of women cadres.",3,Armed Assault,807290801.0,3-5
"PLFI cadres shot dead, Jitendra Kumar alias Bihari, a staff of a construction company, in front of Karra Police Station in Khunti District. Police said Jitendra Kumar was working for a criminal gang.",1,Armed Assault,807291301.0,1
"Four cadres of the CPI-Maoist were killed in an encounter with SFs in Garu Police Station area of Latehar District. One trooper of the CoBRA was also injured in the encounter. A joint team of CRPF and State Police, led by IG Ranchi, Rezi Dungdung, raided the area and made huge recoveries including weapons and ammunitions.",4,Armed Assault,807311101.0,3-5
The CPI-Maoist cadres killed two persons at Barang village under Ghaghra Police Station in Gumla District.,2,Armed Assault,807311401.0,2
"Two bauxite loaded trucks on their way to Garwah from Chhattisgarh were attacked by the CPI-Maoist cadres near Bhaduaghati in the Garwah District. In the indiscriminate firing, the driver of one of the trucks, identified as Anuj Paswan, was killed.",1,Armed Assault,808010703.0,1
"Maoists opened fire from both sides of the road targeting two buses coming to Daltonganj from Ambikapur in Chhattisgarh. Around 25 passengers of the two buses were injured in the incident. The driver of one of the buses, identified as Arvind Pandey, sustained bullet injuries, but managed to drive the vehicle up to Ranka Police station. Later, the bus driver succumbed to his injuries later.",1,Armed Assault,808010704.0,1
Two CPI-Maoist cadres have been by killed in a factional clash with TPC in Pratappur forest of Chatra District. A poster found along the dead bodies warned the CPI-Maoist cadres of more such attacks in the future.,2,Armed Assault,808011301.0,2
"Police have found the body of another CPI-Maoist cadre from Aana village under Chandwa locality in Latehar District.
Latehar District SP said an encounter took place between the cadres of TPC and Sangharsh Jan Mukti Morcha, another splinter CPI-Maoist outfit, for supremacy in the region.",1,Armed Assault,808011302.0,1
Two CRPF personnel were injured in an encounter with the CPI-Maoist cadres at Thalkobad in West Singhbhum District. The encounter took place during regular patrolling in the Maoist-hit areas of the District.,0,Armed Assault,808021101.0,0
"Police recovered a landmine weighing 24 kilograms suspected to be planted by the CPI-Maoist cadres, from Goniato forests in Penk village in Nawadih of Bokaro District.",0,Bombing,808021601.0,0
"Maoists attacked a Police team at Amjharia Ghati in the Latehar District. Maoists also laid an ambush on a Police patrol party, who were escorting private vehicles near Siskaria under the Chandwa Police station area. However, no one was reportedly injured in the exchange of fire between the two sides.",0,Armed Assault,808030702.0,0
The Hindu reports that five persons of a private security agency travelling by a car were killed when Communist Party of India-Maoist (CPI-Maoist) blew up a culvert with a landmine near Pirtand in Giridih District.,5,Bombing,808031001.0,6-10
"The CPI-Maoist cadres shot dead a senior central committee leader of the JMM and wounded one of his associates at Patamda off Jamshedpur in the East Singhbhum District. Doren Singh Munda (48) was a close aide of former State land revenue minister Dulal Bhuiyan and had an active role in the movement for creation of Jharkhand as a separate State in 2000. Police said four motorcycle-borne militants raided Patamda village around 8.30am (IST), saw Munda and his assistant sitting outside the leader's house and started firing indiscriminately from their automatic weapons. Munda died on the spot.",1,Armed Assault,808040901.0,1
"Around 15 to 20 cadres of the TPC, a break away faction of the CPI-Maoist, shot dead Munna Gupta, a Bharatiya Janata Party (BJP) leader a few kilometres from the Balumath Police Station in Latehar District. He was going to Balumath from Hehegara along with four persons on two bikes. His supporters were assaulted. TPC left pamphlets accusing the BJP leader of extorting money in the name of the organisation were found on the incident site.",1,Armed Assault,808041001.0,1
"SFs recovered 130 can bombs planted on a 500 meter stretch at Raka under Chowka Police Station area in Seraikela-Kharsawan District, suspected to be planted by the Maoists. Each bomb weighed about one kilogram. It took more than six hours to pull out the landmines from beneath the earth.",0,Bombing,808041201.0,0
Armed cadres of the CPI-Maoist killed a Police chowkidar identified as Mahesh Karmali near Gomia railway crossing at Ravidas Tola under Gomia Police Station limits in Bokaro District.,1,Armed Assault,808041401.0,1
"The body of Mohammad Shamsher alias Munna (35), a former 'sub-zonal commander' of JPC, a splinter group of the CPI-Maoist, who recently joined the TPC, another splinter group of the CPI-Maoist, was found dead in Dadhighaghar forests in Ichak in Hazaribagh District.",1,Armed Assault,808041402.0,1
"Maoists blew up a forest beat office and set ablaze two forest guard quarters at Ramgarh in the Hazaribagh District. However, there was no report of any loss of life. The Maoists reportedly carried out the attack to protest the arrest of their top leaders Yugal Pal and Sushila along with two more hardcore Maoists.",0,Bombing,808050701.0,0
"Suspected cadres of the CPI-Maoist killed Lakhai Soren, a casual employee of Bagjata mine of State-run Uranium Corporation of India Limited (UCIL), suspecting him to be a Police informer at Vikrampur village in Ghatsila sub-division of East Singhbhum District.",1,Armed Assault,808051001.0,1
Cadres of the CPI-Maoist and its breakaway faction TPC exchanged fire near Pokri village in Palamau District. Blood stains found later on the spot indicated bullet injuries to both sides.,0,Armed Assault,808051101.0,0
"Security force personnel killed three Maoists at Garmorwa near Lohawat Pahaad, between the Hazaribagh District of Jharkhand and Gaya District of Bihar.",3,Armed Assault,808060601.0,3-5
"Two civilians, identified as Hero Singh Munda and Rajesh Singh, were killed by CPI-Maoist cadres at Arki village in the Ranchi District. Both were killed after Maoists held a jan adalat (people’s court) in the village and declared them guilty of rape and of extorting money in the name of the CPI-Maoist. Both had been picked up from their homes on August 5 and their throats were slit as the jan adalat gave them death sentence for their crimes. The Maoist court also ‘punished’ four people charged with petty crimes like theft but they were freed after being assaulted.",2,Armed Assault,808060701.0,2
The CPI-Maoist cadres blew up a forest guest house in the Chainpur village of Daltanganj District and left behind leaflets threatening more such attacks.,0,Bombing,808060702.0,0
"About 100 Maoists attacked the Chainpur Police station in the Gumla District late August 6-night. However, security forces retaliated and foiled the attack forcing the Maoists to retreat without any damage.",0,Armed Assault,808060703.0,0
"Suspected CPI-Maoist cadres blew up the block office building at Dandai in Garwah District. Police sources said that a group of Maoists assembled near the vacated building and blasted it with explosives. The extent of the damage to the building however, is not yet known due to the remote location of the office.",0,Bombing,808060801.0,0
"The CPI-Maoist cadres killed a 29-year-old man, identified as Ashish Tuddu alias Phulchand, alleging him of being Police informer. His body was found at Degagada under Nawadih Police Station limits of Bermo Division in the Bokaro District.",1,Armed Assault,808081301.0,1
"110 landmines planted by suspected Naxalites across three villages in a row in Palamau District were recovered by SF personnel. ""The 110 landmines were connected in a series covering Talghati, Matoli and Icchak villages along Panki and Balumath road,"" DIG Police, Palamau Range, Saket Kumar Singh said. The distance between each explosive was five to ten feet and five of the landmines weighed about 50 kg.",0,Bombing,808081501.0,0
At least 14 cadres of TPC were killed by the Maoists at Choti Kauriya village under Vishrampur Police Station limits in Palamu District.,14,Armed Assault,808091402.0,10+
"At least three Naxalites are reported to have been killed in a gun battle between CPI-Maoist cadres and the JPC in Arabhusai forest of Katkamsandi, Hazaribagh District of Jharkhand. Unconfirmed sources said that among those killed in the turf war was JPC supremo Kaljit. The gun battle might have been spurred by the death of a Maoist cadre who was killed by JPC in an encounter in Panki forest area of Palamau District in the night of August 9, Police said.",3,Armed Assault,808101201.0,3-5
A powerful landmine planted by suspected CPI-Maoist cadres was found from underneath Shyamsunderpur - Gorbandha road in Ghatsila Sub-division of East Singhbhum District.,0,Bombing,808101501.0,0
"Cadres of the CPI-Maoist blew up a railway track near Kumandih railway station in the Latehar District, while enforcing the 24-hour Palamau division shutdown called by them to protest against the State Government's proposal to set up 71 new Police stations and launching a field firing range at Netarhat.",0,Bombing,808110501.0,0
The CPI-Maoist blew up three Government buildings in Ghorighat under Pratapgarh Police station of Chatra District.,0,Bombing,808130501.0,0
Security force personnel claimed to have shot dead at least two Maoists during an encounter near Bitikilsoya inside Saranda forest in the West Singhbhum District.,2,Armed Assault,808140601.0,2
"One Jharkhand Armed Police (JAP) trooper was killed and a sub-inspector injured when suspected CPI-Maoist cadres fired at them at Chak in the Palamu District. According to the report, three motorcycle-borne Maoists fired from AK-47 rifles and nine mm pistol at a group of six JAP personnel, including sub-inspector Sunil Chetri killing Ramesh Chetri, hailing from Padma in Nepal.",1,Armed Assault,808140801.0,1
"At least four cadres of the CPI-Maoist were shot at in an encounter with the CRPF personnel when their camp was attacked by the Maoist cadres at Rania in Khunti District. ""At least four Maoists were shot at during the strong retaliatory action by the security forces, beating down the Maoists attack on CRPF camp immediately after the flag hoisting ceremony at Rania,"" SP Manoj Kaushik said.",4,Armed Assault,808151101.0,3-5
